82522.9,455492.7
77765,449710
92382,464076.8
162092,499927
164492,382586
125778.5,510386.6
125427.03,511673.1
82442.5,455476.2
110219.12,425695.889
110148.8,425633.7
129397,482178
104415.02,474792.456
94174.8,461043
127760,482390
87407,429811
127681,512703.7
136649,446995
136678,447141
172201,486747
136790,447055
102227,499077
163864,400959.6
118292,490851
44264,373968
117056,491490
87313,453427
101330,414916
129871.9,512201
101017,414961
171601,486600
85682.642,453204
122423,488523
187407,443348.856
126388.9,476465
119367,485920
120211.022,476652.204
117517.7,464691.3
118614.305,473340.41
120114,485063
120141,485392
92031,431178.091
91378,431547.053
116777,492125
39174.5,370755.76
256194.19,573073.37
125764.6,479578.5
127907,482280
118352,490927
84768,455301
90356,446624
119277,484960
78681,450065
118885,484930
32817,389476
74354,436871
189934,438076
39152.86,370749.3
141696,456094
230850,600520
81507,447613
146462,483004
100197,444424
115773,395424
84500,450904
99200.72,428268.06
134163,451891
71976.471,437390.729
39257.72,370744.28
183775,580603
87452,452247
88941,437758
87296,452067
82187,450483
173056.65,582877.17
128344,480672
173224.47,558952.55
128073,481868
111695,552579
136013,481803
122220,481014
142206,470383
149616,459554
89971,432643
226353,597957
70020,439283.533
159626,499216
115872,397504
159417,499431
69239.521,439319.022
174899,488101
143446.114,425906.447
117037,491492
69957.578,439311.732
143194.765,425585.299
118398,490959
39349.51,370719.98
158599,499368
251913,599532
103037,427060
102373,426994
119003,484979
102360,426884
102487,426664
102502,426618
119120,485027
120662,486091
102643,426941
140603.83,441579.291
120570,486359
39510,370701
110891.392,485564.455
125059.9,479174.2
126068,480787
113233,485281
250059,474016
250217,473942
175944,317239
250012,473933
87148,452137
250022,473678
39644.95,370646.24
125071.2,479153.9
214335,444033
103779,427337
86991,452300
103906,427394
104296,427630
132986,482427
250120,473662
118737,485588
105981,428952
214407,444109
184025.45,329926.91
214410,444170
108521,428161
107600,428379
183934.97,329819.84
228700,591140
183457,516627
39760,370638
108476,428039
157331,390358
124751.7,479088.3
125722,476183
90582,463141
134345,481072
180086.42,371176.03
117490,493533
91879,436368
91922,436482
263903,481100
198106,500207
198229,500019
120342,485988
191440,519980
120493,485358
90432,463385
81243.1,447337.1
39932.67,370585.53
124755.7,479068.7
133951,481308
117398,493489
187579,393939
93572,451346
61041.235,442770.778
119865,485279
118422,490487
118005,489094
118527,490726
120923,485358
120680,485531
118706,490980
118699,490928
119584,485160
40029.44,370561.55
118709,490843
124574.36,478740.51
133705,481522
121019,486631
128311.4,481058.4
101700,499400
125201,429555
101700,499400
60850,440800
123110.548,428020.37
62173.679,442668.097
40519.92,370450.52
62317.293,442664.287
119381.797,427477.233
116235,484681
84708,455321
116405,484427
116427,484408
240021,480781
82900,436250
114124,484718
114199,484213
94780,427567
116379,484649
114395,484507
179576.5,564436.67
111055.38,513819
40945.76,370322.53
